PHASE,TASK NAME,PROJECT,START DATE,DUE DATE,NOTES
โครงการย่อย 1 จ.เชียงใหม่,จัดตั้ง/ขับเคลื่อนคณะทำงานระดับจังหวัด และจัดระบบข้อมูลกลางเพื่อการตัดสินใจ,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 1,2,3 | Weight %: 2.5 | WBS: CM-P01 | Estimated cost: 204150.0 | Document: CM | Status: Completed"
โครงการย่อย 1 จ.เชียงใหม่,รวบรวมข้อมูลทุติยภูมิและจัดทำฐานข้อมูลระบบสารสนเทศภูมิศาสตร์,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 1,2,3 | Weight %: 5.0 | WBS: CM-P02 | Estimated cost: 408300.0 | Document: CM | Status: Completed"
โครงการย่อย 1 จ.เชียงใหม่,ลงพื้นที่สำรวจและประเมินพื้นที่เสี่ยงสูงเพื่อเตรียมติดตั้งเทคโนโลยีต้นแบบ,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 2,3,4 | Weight %: 7.5 | WBS: CM-P03 | Estimated cost: 612450.0 | Document: CM | Status: Completed"
โครงการย่อย 1 จ.เชียงใหม่,สนับสนุน/ผลักดันการจัดทำข้อเสนอโครงการเข้าสู่ระบบ Thai Water Plan (อย่างน้อย 10 ตำบล),โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 3,4,5,6 | Weight %: 7.5 | WBS: CM-P04 | Estimated cost: 612450.0 | Document: CM | Status: Not Started"
โครงการย่อย 1 จ.เชียงใหม่,เริ่มติดตั้งเทคโนโลยีโครงการต้นแบบในพื้นที่เสี่ยงสูงที่คัดเลือกแล้ว,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 3,4,5,6,7,8,9,10 | Weight %: 5.0 | WBS: CM-P05 | Estimated cost: 408300.0 | Document: CM | Status: Not Started"
โครงการย่อย 1 จ.เชียงใหม่,ผลักดันการจัดทำข้อเสนอโครงการเข้าสู่ระบบ Thai Water Plan ให้ครบ 10 ตำบล,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 7,8,9,10 | Weight %: 5.0 | WBS: CM-P06 | Estimated cost: 408300.0 | Document: CM | Status: Not Started"
โครงการย่อย 1 จ.เชียงใหม่,ติดตามผลการติดตั้งและการใช้งานเทคโนโลยีต้นแบบ พร้อมปรับปรุงแนวปฏิบัติ,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 7,8,9,10 | Weight %: 5.0 | WBS: CM-P07 | Estimated cost: 408300.0 | Document: CM | Status: Not Started"
โครงการย่อย 1 จ.เชียงใหม่,สรุปผลการผลักดันโครงการเข้าสู่ระบบ Thai Water Plan และบทเรียนการดำเนินงาน,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 8,9,10,11 | Weight %: 5.0 | WBS: CM-P08 | Estimated cost: 408300.0 | Document: CM | Status: Not Started"
โครงการย่อย 1 จ.เชียงใหม่,จัดทำชุดองค์ความรู้และคู่มือปฏิบัติสำหรับการขยายผล,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 8,9,10,11,12 | Weight %: 5.0 | WBS: CM-P09 | Estimated cost: 408300.0 | Document: CM | Status: Not Started"
โครงการย่อย 1 จ.เชียงใหม่,การประเมินผลภาพรวม,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 11,12 | Weight %: 2.5 | WBS: CM-P10 | Estimated cost: 204150.0 | Document: CM | Status: Not Started"
โครงการย่อย 1 จ.เชียงใหม่,การประชุมทีมคณะทำงานจังหวัด,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 1,2,3,4,5,6,7,8,9,10,11,12 | Weight %: 2.5 | WBS: CM-T01 | Estimated cost: 204150.0 | Document: CM | Status: Completed"
โครงการย่อย 1 จ.เชียงใหม่,ลงพื้นที่เก็บข้อมูลเพื่อสำรวจความพร้อม ปัญหา Mapping ทรัพยากร พื้นที่ ความเสี่ยง,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 1,2,3 | Weight %: 5.0 | WBS: CM-T02 | Estimated cost: 408300.0 | Document: CM | Status: Completed"
โครงการย่อย 1 จ.เชียงใหม่,ศึกษาดูงานและสร้างความเข้าใจผู้บริหารท้องถิ่น เจ้าหน้าที่ อปท. และองค์กรผู้ใช้น้ำพื้นที่เป้าหมาย,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 3,4 | Weight %: 2.5 | WBS: CM-T03 | Estimated cost: 204150.0 | Document: CM | Status: Not Started"
โครงการย่อย 1 จ.เชียงใหม่,เวทีสร้างความเข้าใจผู้บริหารท้องถิ่น เจ้าหน้าที่ อปท. และองค์กรผู้ใช้น้ำพื้นที่เป้าหมาย,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 3,4 | Weight %: 5.0 | WBS: CM-T04 | Estimated cost: 408300.0 | Document: CM | Status: Not Started"
โครงการย่อย 1 จ.เชียงใหม่,ทีมคณะทำงานโครงการย่อยเข้าร่วมอบรมเชิงปฏิบัติการกับทีมคณะทำงานส่วนกลาง 2 หลักสูตร จำนวน 4 ครั้ง,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 5,6 | Weight %: 5.0 | WBS: CM-T05 | Estimated cost: 408300.0 | Document: CM | Status: Not Started"
โครงการย่อย 1 จ.เชียงใหม่,เวทีอบรมเชิงปฏิบัติการระบบเทคโนโลยีดิจิทัลสำหรับการจัดเก็บข้อมูล,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 6,7,8 | Weight %: 5.0 | WBS: CM-T06 | Estimated cost: 408300.0 | Document: CM | Status: Not Started"
โครงการย่อย 1 จ.เชียงใหม่,เวทีการจัดทำแผนน้ำชุมชนเชื่อมโยงกับแผนพัฒนาท้องถิ่น,โครงการย่อย 1 จ.เชียงใหม่,2026-06-01,2027-05-31,"Months: 6,7,8 | Weight %: 5.0 | WBS: CM-T07 | Estimated cost: 408300.0 | Document: CM | Status: Not Started"
